aqi,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,date_local88101,aqi88101,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,date_local44201,aqi44201,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201
3.0,42101,Z,8-HR RUN AVG END HOUR,19,79.0,0.3,2013-01-01,50.0,88101,7,24 HOUR,1.0,100.0,9.0,2013-01-01,19.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.018875
3.0,42101,Z,8-HR RUN AVG END HOUR,19,79.0,0.3,2013-01-01,50.0,88101,7,24 HOUR,1.0,100.0,9.0,2013-01-01,19.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.018875
6.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.4,2013-01-01,54.0,88101,7,24 HOUR,1.0,100.0,10.6,2013-01-02,20.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.018333
6.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.4,2013-01-01,54.0,88101,7,24 HOUR,1.0,100.0,10.6,2013-01-02,20.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.018333
6.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.4375,2013-01-01,59.0,88101,7,24 HOUR,1.0,100.0,13.5,2013-01-03,17.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,100.0,0.011176
6.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.4375,2013-01-01,59.0,88101,7,24 HOUR,1.0,100.0,13.5,2013-01-03,17.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,100.0,0.011176
6.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.395833,2013-01-04,61.0,88101,7,24 HOUR,1.0,100.0,14.6,2013-01-04,18.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.013542
6.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.395833,2013-01-04,61.0,88101,7,24 HOUR,1.0,100.0,14.6,2013-01-04,18.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.013542
3.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.275,2013-01-04,63.0,88101,7,24 HOUR,1.0,100.0,15.5,2013-01-05,19.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,100.0,0.010588
3.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.275,2013-01-04,63.0,88101,7,24 HOUR,1.0,100.0,15.5,2013-01-05,19.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,100.0,0.010588
5.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.279167,2013-01-04,73.0,88101,7,24 HOUR,1.0,100.0,20.8,2013-01-06,18.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,100.0,0.016176
5.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.279167,2013-01-04,73.0,88101,7,24 HOUR,1.0,100.0,20.8,2013-01-06,18.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,100.0,0.016176
3.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.179167,2013-01-07,53.0,88101,7,24 HOUR,1.0,100.0,10.4,2013-01-07,21.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.011125
3.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.179167,2013-01-07,53.0,88101,7,24 HOUR,1.0,100.0,10.4,2013-01-07,21.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.011125
6.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.408333,2013-01-07,55.0,88101,7,24 HOUR,1.0,100.0,11.0,2013-01-08,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.002375
6.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.408333,2013-01-07,55.0,88101,7,24 HOUR,1.0,100.0,11.0,2013-01-08,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.002375
11.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.641667,2013-01-07,56.0,88101,7,24 HOUR,1.0,100.0,11.8,2013-01-09,19.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.0045
11.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.641667,2013-01-07,56.0,88101,7,24 HOUR,1.0,100.0,11.8,2013-01-09,19.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.0045
5.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.3125,2013-01-07,63.0,88101,7,24 HOUR,1.0,100.0,15.4,2013-01-10,21.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.015375
5.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.3125,2013-01-07,63.0,88101,7,24 HOUR,1.0,100.0,15.4,2013-01-10,21.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,100.0,0.015375
9.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.5625,2013-01-10,27.0,88101,7,24 HOUR,1.0,100.0,4.9,2013-01-11,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,100.0,0.001706
9.0,42101,Z,8-HR RUN AVG END HOUR,24,100.0,0.5625,2013-01-10,27.0,88101,7,24 HOUR,1.0,100.0,4.9,2013-01-11,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,100.0,0.001706
