county_code,date_local,parameter_code,latitude,longitude,sample_duration_code,pollutant_standard,units_of_measure,observation_count,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,county,city,parameter_code44201,latitude44201,longitude44201,sample_duration_code44201,pollutant_standard44201,units_of_measure44201,observation_count44201,validity_indicator44201,arithmetic_mean44201,first_max_value44201,first_max_hour44201,aqi44201,county44201,city44201,parameter_code88101,latitude88101,longitude88101,sample_duration_code88101,pollutant_standard88101,units_of_measure88101,observation_count88101,validity_indicator88101,arithmetic_mean88101,first_max_value88101,first_max_hour88101,aqi88101,county88101,city88101,aqi_max
085,2013-01-01,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.024011333333333332,0.025000000000000005,6.666666666666667,23.0,Richmond,New York,88101,40.63307,-74.13719,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8.0,Y,9.5,9.5,0.0,52.0,Richmond,New York,52.0
085,2013-01-02,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.02093,0.028,10.0,26.0,Richmond,New York,,,,,,,,,,,,,,,26.0
085,2013-01-03,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.01875833333333333,0.028,10.0,26.0,Richmond,New York,,,,,,,,,,,,,,,26.0
085,2013-01-04,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.02370733333333333,0.03,23.0,28.0,Richmond,New York,88101,40.63307,-74.13719,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8.0,Y,14.5,14.5,0.0,61.0,Richmond,New York,61.0
085,2013-01-05,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.023720666666666668,0.033,9.0,31.0,Richmond,New York,,,,,,,,,,,,,,,31.0
085,2013-01-06,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.023740333333333336,0.03,13.0,28.0,Richmond,New York,,,,,,,,,,,,,,,28.0
085,2013-01-07,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.015256333333333332,0.025000000000000005,9.0,23.0,Richmond,New York,88101,40.63307,-74.13719,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8.0,Y,13.1,13.1,0.0,58.0,Richmond,New York,58.0
085,2013-01-08,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.010710666666666667,0.021,9.0,19.0,Richmond,New York,,,,,,,,,,,,,,,19.0
085,2013-01-09,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.011818666666666667,0.019,21.0,18.0,Richmond,New York,,,,,,,,,,,,,,,18.0
085,2013-01-10,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.015034333333333332,0.029,9.0,27.0,Richmond,New York,88101,40.63307,-74.13719,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8.0,Y,6.4,6.4,0.0,36.0,Richmond,New York,36.0
085,2013-01-11,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.019606333333333333,0.032,16.0,30.0,Richmond,New York,,,,,,,,,,,,,,,30.0
085,2013-01-12,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.004867666666666667,0.007666666666666666,2.3333333333333335,6.666666666666667,Richmond,New York,,,,,,,,,,,,,,,6.666666666666667
085,2013-01-13,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.012034333333333333,0.019,10.0,18.0,Richmond,New York,88101,40.63307,-74.13719,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8.0,Y,13.2,13.2,0.0,59.0,Richmond,New York,59.0
085,2013-01-14,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.012897,0.019,14.0,18.0,Richmond,New York,,,,,,,,,,,,,,,18.0
085,2013-01-15,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.010052666666666666,0.013,21.0,12.0,Richmond,New York,,,,,,,,,,,,,,,12.0
085,2013-01-16,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.004023,0.009666666666666667,7.666666666666667,9.0,Richmond,New York,88101,40.63307,-74.13719,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8.0,Y,13.0,13.0,0.0,58.0,Richmond,New York,58.0
085,2013-01-17,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.013827,0.019,9.0,18.0,Richmond,New York,,,,,,,,,,,,,,,18.0
085,2013-01-18,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.026029333333333335,0.031,10.0,29.0,Richmond,New York,,,,,,,,,,,,,,,29.0
085,2013-01-19,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.029124,0.031,11.0,29.0,Richmond,New York,88101,40.63307,-74.13719,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8.0,Y,5.5,5.5,0.0,31.0,Richmond,New York,31.0
085,2013-01-20,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.030700999999999996,0.037,11.0,34.0,Richmond,New York,,,,,,,,,,,,,,,34.0
085,2013-01-21,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.023523,0.029,11.0,27.0,Richmond,New York,,,,,,,,,,,,,,,27.0
085,2013-01-22,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.029269666666666666,0.032,10.0,30.0,Richmond,New York,88101,40.63307,-74.13719,7,PM25 24-hour 2006,Micrograms/cubic meter (LC),8.0,Y,6.4,6.4,0.0,36.0,Richmond,New York,36.0
085,2013-01-23,,,,,,,,,,,,,,,44201,40.59664,-74.12525,W,Ozone 8-Hour 1997,Parts per million,65.0,Y,0.018266,0.03,10.0,28.0,Richmond,New York,,,,,,,,,,,,,,,28.0
