date_local,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,aqi,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201,aqi44201,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,aqi88101,aqi_max
2013-01-01,42101,Z,8-HR RUN AVG END HOUR,19.0,79.0,0.547368,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.021237166666666668,22.5,88101,7,24 HOUR,16.0,100.0,9.9,52.0,52.0
2013-01-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.416667,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.0198965,20.5,,,,,,,,20.5
2013-01-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.495833,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.013166666666666667,19.0,,,,,,,,19.0
2013-01-04,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.575,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.014906833333333333,19.0,88101,7,24 HOUR,16.0,100.0,16.5,64.5,64.5
2013-01-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.633333,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.015361,25.0,,,,,,,,25.0
2013-01-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.716667,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.014664166666666667,18.0,,,,,,,,18.0
2013-01-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.6625,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,118.0,91.66666666666667,0.012051666666666667,23.5,88101,7,24 HOUR,16.0,100.0,12.4,57.0,57.0
2013-01-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.645833,10.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.004169,9.5,,,,,,,,10.0
2013-01-09,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.7625,15.0,44201,W,8-HR RUN AVG BEGIN HOUR,130.0,100.0,0.005219833333333333,17.5,,,,,,,,17.5
2013-01-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.270833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,113.0,86.83333333333333,0.012975500000000001,21.5,88101,7,24 HOUR,16.0,100.0,6.4,35.5,35.5
