date_local,latitude,longitude,county,aqi_42101,aqi_42401,aqi_44201,aqi_42602,aqi_88502,aqi_max
2013-01-01,40.81551,-73.88553,Bronx,4.5,9.8,22.0,23.0,52.0,52.0
2013-01-02,40.81551,-73.88553,Bronx,6.5,11.4,21.0,26.5,60.0,60.0
2013-01-03,40.81551,-73.88553,Bronx,6.5,15.0,19.375,35.5,59.0,59.0
2013-01-04,40.81551,-73.88553,Bronx,7.0,13.0,19.0,36.5,60.0,64.5
2013-01-05,40.81551,-73.88553,Bronx,8.0,10.2,23.5,41.5,60.0,41.5
2013-01-06,40.81551,-73.88553,Bronx,9.0,13.0,19.75,34.0,60.0,34.0
2013-01-07,40.81551,-73.88553,Bronx,9.0,16.2,22.125,51.0,60.0,57.0
2013-01-08,40.81551,-73.88553,Bronx,9.5,18.2,13.0,44.0,60.0,60.0
2013-01-09,40.81551,-73.88553,Bronx,12.5,33.8,15.5,77.0,60.0,77.0
2013-01-10,40.81551,-73.88553,Bronx,10.0,10.2,20.5,36.0,54.5,54.5
2013-01-11,40.83606,-73.92009,Bronx,6.0,8.2,9.25,36.5,57.0,57.0
2013-01-12,40.81551,-73.88553,Bronx,7.0,11.0,14.125,31.5,59.25,59.25
2013-01-13,40.81551,-73.88553,Bronx,7.5,6.2,11.375,38.5,62.25,62.25
2013-01-14,40.81551,-73.88553,Bronx,8.5,9.4,12.875,35.5,64.5,64.5
2013-01-15,40.81551,-73.88553,Bronx,7.5,6.2,13.25,25.5,58.0,58.0
2013-01-16,40.81551,-73.88553,Bronx,7.0,7.4,8.25,30.5,58.75,58.75
2013-01-17,40.81551,-73.88553,Bronx,8.0,11.0,16.625,26.5,60.66666666666666,60.66666666666666
2013-01-18,40.81551,-73.88553,Bronx,6.5,7.0,23.0,28.5,52.5,52.5
2013-01-19,40.81551,-73.88553,Bronx,5.5,7.4,18.25,31.5,49.0,49.0
2013-01-20,40.81551,-73.88553,Bronx,6.0,8.6,24.375,26.5,52.75,52.75
2013-01-21,40.81551,-73.88553,Bronx,6.0,9.0,20.625,38.0,55.5,55.5
2013-01-22,40.81551,-73.88553,Bronx,5.5,7.4,20.875,21.0,58.0,58.0
2013-01-23,40.81551,-73.88553,Bronx,5.0,9.0,19.75,27.5,69.5,69.5
2013-01-24,40.81551,-73.88553,Bronx,5.5,11.8,20.625,32.0,90.66666666666669,90.66666666666669
2013-01-25,40.83606,-73.92009,Bronx,7.5,25.0,16.0,49.0,99.0,99.0
2013-01-26,40.83606,-73.92009,Bronx,8.5,12.2,20.625,34.0,73.0,73.0
2013-01-27,40.83606,-73.92009,Bronx,8.0,13.0,23.25,36.5,62.5,62.5
2013-01-28,40.83606,-73.92009,Bronx,9.5,18.2,8.0,49.0,71.0,83.5
2013-01-29,40.83606,-73.92009,Bronx,12.0,15.4,3.375,33.0,86.5,86.5
2013-01-30,40.81551,-73.88553,Bronx,11.5,7.0,19.25,47.0,76.0,76.0
2013-01-31,40.81551,-73.88553,Bronx,7.5,3.8,23.75,20.0,53.25,53.25
2013-02-01,40.81551,-73.88553,Bronx,4.0,6.2,20.625,28.0,45.0,45.0
2013-02-02,40.81551,-73.88553,Bronx,3.0,10.2,15.875,33.5,52.25,52.25
2013-02-03,40.81551,-73.88553,Bronx,4.0,11.4,14.625,36.5,63.0,73.0
2013-02-04,40.81551,-73.88553,Bronx,5.0,7.0,19.5,33.0,65.66666666666667,65.66666666666667
2013-02-05,40.81551,-73.88553,Bronx,5.5,9.8,13.125,38.0,67.5,67.5
2013-02-06,40.81551,-73.88553,Bronx,6.5,13.8,20.625,36.0,70.5,70.5
2013-02-07,40.81551,-73.88553,Bronx,6.0,7.0,25.125,37.5,60.5,60.5
2013-02-08,40.81551,-73.88553,Bronx,5.0,3.8,25.875,22.5,39.5,39.5
2013-02-09,40.81551,-73.88553,Bronx,5.0,6.2,27.875,22.0,39.5,30.5
2013-02-10,40.81551,-73.88553,Bronx,7.0,18.2,20.25,58.0,39.5,58.0
2013-02-11,40.81551,-73.88553,Bronx,12.0,17.0,11.625,66.0,39.5,66.0
2013-02-12,40.81551,-73.88553,Bronx,12.5,7.8,15.625,33.5,26.0,52.5
2013-02-13,40.81551,-73.88553,Bronx,9.0,21.4,16.75,47.0,44.0,47.0
2013-02-14,40.81551,-73.88553,Bronx,7.5,12.6,17.125,42.0,63.0,63.0
2013-02-15,40.81551,-73.88553,Bronx,7.5,12.2,19.5,51.0,66.5,81.0
2013-02-16,40.81551,-73.88553,Bronx,8.0,5.4,25.125,21.0,50.0,50.0
2013-02-17,40.81551,-73.88553,Bronx,6.5,4.2,28.75,15.0,34.5,34.5
2013-02-18,40.81551,-73.88553,Bronx,5.5,11.8,27.875,42.0,43.0,43.0
2013-02-19,40.81551,-73.88553,Bronx,7.0,7.0,21.75,49.5,51.0,51.0
2013-02-20,40.81551,-73.88553,Bronx,7.0,5.4,21.5,24.0,50.5,50.5
2013-02-21,40.81551,-73.88553,Bronx,5.5,5.8,23.5,20.0,39.5,42.0
2013-02-22,40.81551,-73.88553,Bronx,6.0,7.4,20.25,37.5,35.0,37.5
2013-02-23,40.81551,-73.88553,Bronx,7.0,3.0,25.75,30.5,30.0,30.5
2013-02-24,40.81551,-73.88553,Bronx,7.0,4.6,27.25,24.0,36.5,44.5
2013-02-25,40.81551,-73.88553,Bronx,7.0,8.6,24.75,34.0,53.5,53.5
2013-02-26,40.81551,-73.88553,Bronx,7.5,9.0,31.5,42.5,55.0,55.0
2013-02-27,40.81551,-73.88553,Bronx,8.0,7.8,32.875,43.0,42.5,43.0
2013-02-28,40.81551,-73.88553,Bronx,8.5,11.4,20.75,34.0,42.0,42.0
2013-03-01,40.81551,-73.88553,Bronx,8.0,10.2,22.375,28.5,45.0,45.0
2013-03-02,40.81551,-73.88553,Bronx,6.5,4.2,24.375,18.0,32.5,32.5
2013-03-03,40.81551,-73.88553,Bronx,6.5,4.2,27.5,14.0,28.5,28.5
2013-03-04,40.81551,-73.88553,Bronx,6.5,5.4,25.875,18.5,35.5,35.5
2013-03-05,40.81551,-73.88553,Bronx,6.0,7.0,26.875,38.5,42.0,42.0
2013-03-06,40.81551,-73.88553,Bronx,5.5,3.4,33.5,29.0,36.5,36.5
2013-03-07,40.81551,-73.88553,Bronx,5.0,4.6,32.125,23.5,29.5,32.125
2013-03-08,40.81551,-73.88553,Bronx,5.5,5.0,30.625,22.0,44.66666666666666,44.66666666666666
2013-03-09,40.81551,-73.88553,Bronx,7.0,6.2,34.875,50.0,50.5,50.5
2013-03-10,40.81551,-73.88553,Bronx,8.5,9.0,30.0,41.5,52.0,52.0
2013-03-11,40.81551,-73.88553,Bronx,8.0,5.0,29.5,42.0,55.75,55.75
2013-03-12,40.81551,-73.88553,Bronx,6.5,3.8,28.125,41.5,47.5,47.5
2013-03-13,40.81551,-73.88553,Bronx,6.0,9.0,28.625,30.0,40.0,40.0
2013-03-14,40.81551,-73.88553,Bronx,5.5,5.0,32.0,20.0,33.5,33.5
2013-03-15,40.81551,-73.88553,Bronx,5.5,6.6,28.0,31.0,35.5,35.5
2013-03-16,40.81551,-73.88553,Bronx,7.5,7.8,24.25,32.5,48.5,48.5
2013-03-17,40.81551,-73.88553,Bronx,8.0,6.2,28.125,23.5,44.66666666666666,44.66666666666666
2013-03-18,40.81551,-73.88553,Bronx,6.5,4.6,33.125,34.0,38.75,38.75
2013-03-19,40.81551,-73.88553,Bronx,6.0,9.0,30.625,42.5,34.25,42.5
2013-03-20,40.81551,-73.88553,Bronx,4.5,7.0,28.5,33.5,40.5,48.5
2013-03-21,40.81551,-73.88553,Bronx,5.0,5.0,32.0,23.0,45.5,45.5
2013-03-22,40.81551,-73.88553,Bronx,4.5,7.8,28.75,33.0,42.5,42.5
2013-03-23,40.81551,-73.88553,Bronx,2.0,6.6,29.375,26.5,36.25,36.25
2013-03-24,40.81551,-73.88553,Bronx,2.5,8.2,33.75,42.0,28.75,42.0
2013-03-25,40.81551,-73.88553,Bronx,3.0,3.0,29.75,33.5,26.666666666666668,33.5
2013-03-26,40.81551,-73.88553,Bronx,4.0,11.0,31.0,40.0,26.5,40.0
2013-03-27,40.81551,-73.88553,Bronx,4.0,6.777777777777778,35.0,34.5,29.0,35.0
2013-03-28,40.81551,-73.88553,Bronx,2.5,5.0,32.625,23.0,29.5,32.625
2013-03-29,40.81551,-73.88553,Bronx,2.5,6.6,32.625,21.0,29.5,32.625
2013-03-30,40.81551,-73.88553,Bronx,4.5,8.2,37.875,58.5,35.5,58.5
2013-03-31,40.81551,-73.88553,Bronx,10.0,7.8,43.25,56.0,47.5,56.0
2013-04-01,40.81551,-73.88553,Bronx,9.5,5.0,36.25,34.5,46.0,52.5
2013-04-02,40.81551,-73.88553,Bronx,3.5,5.4,36.125,25.5,39.25,39.25
2013-04-03,40.81551,-73.88553,Bronx,2.5,5.4,39.25,26.0,32.25,39.25
2013-04-04,40.81551,-73.88553,Bronx,4.0,10.2,29.625,42.0,41.5,47.0
2013-04-05,40.81551,-73.88553,Bronx,5.0,7.8,39.125,52.0,49.0,52.0
2013-04-06,40.81551,-73.88553,Bronx,4.0,4.6,41.75,25.5,44.0,44.0
2013-04-07,40.81551,-73.88553,Bronx,4.0,1.8,42.5,37.5,39.75,42.5
2013-04-08,40.81551,-73.88553,Bronx,7.0,12.2,34.75,50.5,54.5,54.5
2013-04-09,40.81551,-73.88553,Bronx,8.0,9.0,38.75,62.0,61.25,62.0
2013-04-10,40.81551,-73.88553,Bronx,7.0,3.4,36.125,54.0,57.0,57.5
2013-04-11,40.81551,-73.88553,Bronx,7.0,3.4,34.125,43.5,44.0,44.0
2013-04-12,40.81551,-73.88553,Bronx,5.0,1.4,34.0,17.5,20.0,34.0
2013-04-13,40.81551,-73.88553,Bronx,5.0,3.4,28.75,44.5,21.5,44.5
2013-04-14,40.81551,-73.88553,Bronx,7.0,3.8,36.375,37.5,40.333333333333336,40.333333333333336
2013-04-15,40.81551,-73.88553,Bronx,6.0,2.2,30.5,28.5,40.25,40.25
2013-04-16,40.81551,-73.88553,Bronx,5.0,2.6,32.0,36.0,34.75,36.0
2013-04-17,40.81551,-73.88553,Bronx,4.0,3.8,37.625,51.5,37.25,51.5
2013-04-18,40.81551,-73.88553,Bronx,4.0,2.6,30.75,43.5,40.75,43.5
2013-04-19,40.81551,-73.88553,Bronx,5.0,1.0,29.125,31.5,40.25,40.25
2013-04-20,40.81551,-73.88553,Bronx,5.5,2.6,34.0,18.0,34.75,34.75
2013-04-21,40.81551,-73.88553,Bronx,7.0,3.8,40.0,34.5,32.5,40.0
2013-04-22,40.81551,-73.88553,Bronx,8.0,2.6,36.25,22.0,32.75,36.25
2013-04-23,40.81551,-73.88553,Bronx,6.5,2.2,29.375,22.0,32.5,32.5
2013-04-24,40.81551,-73.88553,Bronx,5.0,11.0,28.75,35.0,44.5,44.5
2013-04-25,40.81551,-73.88553,Bronx,4.0,2.2,42.0,44.0,46.0,46.0
2013-04-26,40.81551,-73.88553,Bronx,3.0,8.2,52.75,46.0,44.5,52.75
2013-04-27,40.81551,-73.88553,Bronx,2.5,2.2,52.75,27.5,39.25,52.75
2013-04-28,40.81551,-73.88553,Bronx,4.0,3.8,68.5,40.5,42.0,68.5
2013-04-29,40.81551,-73.88553,Bronx,4.0,1.8,46.375,32.0,49.75,49.75
2013-04-30,40.81551,-73.88553,Bronx,2.0,1.4,42.625,26.5,43.0,43.0
2013-05-01,40.81551,-73.88553,Bronx,2.5,5.4,41.625,41.0,37.0,41.625
2013-05-02,40.81551,-73.88553,Bronx,5.0,7.0,34.875,41.0,38.0,41.0
2013-05-03,40.81551,-73.88553,Bronx,5.0,1.4,38.25,19.0,34.0,38.25
2013-05-04,40.81551,-73.88553,Bronx,3.0,2.6,38.125,25.5,34.25,44.5
2013-05-05,40.81551,-73.88553,Bronx,2.5,1.4,44.25,16.0,42.5,44.25
2013-05-06,40.81551,-73.88553,Bronx,3.5,1.4,36.0,35.0,46.75,46.75
2013-05-07,40.81551,-73.88553,Bronx,5.0,1.4,30.625,27.5,39.75,39.75
2013-05-08,40.81551,-73.88553,Bronx,5.0,1.4,22.5,29.0,32.666666666666664,32.666666666666664
2013-05-09,40.81551,-73.88553,Bronx,6.0,3.4,19.625,45.5,38.0,45.5
2013-05-10,40.81551,-73.88553,Bronx,7.0,3.4,33.375,44.5,47.75,56.0
2013-05-11,40.81551,-73.88553,Bronx,7.5,1.4,32.0,34.0,57.25,57.25
2013-05-12,40.81551,-73.88553,Bronx,7.5,1.4,38.625,22.0,41.5,41.5
2013-05-13,40.81551,-73.88553,Bronx,6.0,2.6,38.125,14.5,26.25,38.125
