date_local,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,aqi,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201,aqi44201,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,aqi88101,aqi_max
2013-01-01,42101,Z,8-HR RUN AVG END HOUR,19.0,79.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.02591033333333333,27.0,88101,7,24 HOUR,8.0,100.0,9.5,52.0,52.0
2013-01-02,42101,Z,8-HR RUN AVG END HOUR,20.0,83.0,0.19,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,53.0,80.66666666666667,0.022382,23.0,88101,7,24 HOUR,8.0,100.0,5.5,31.0,31.0
2013-01-03,42101,Z,8-HR RUN AVG END HOUR,15.0,63.0,0.233333,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,47.0,71.66666666666667,0.014400999999999999,20.0,88101,7,24 HOUR,8.0,100.0,13.0,58.0,58.0
2013-01-04,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2625,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.018519666666666667,22.0,88101,7,24 HOUR,8.0,100.0,14.6,61.0,61.0
2013-01-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.258333,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.017130999999999997,28.0,88101,7,24 HOUR,8.0,100.0,11.0,55.0,55.0
2013-01-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.316667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.019643666666666667,21.0,88101,7,24 HOUR,8.0,100.0,20.3,72.0,72.0
2013-01-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.304167,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.012839666666666666,25.0,88101,7,24 HOUR,8.0,100.0,11.8,56.0,56.0
2013-01-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4375,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,36.0,54.333333333333336,0.003571333333333334,5.0,88101,7,24 HOUR,8.0,100.0,19.8,71.0,71.0
2013-01-09,42101,Z,8-HR RUN AVG END HOUR,17.0,71.0,0.688235,16.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.009805333333333333,20.0,88101,7,24 HOUR,8.0,100.0,26.6,84.0,84.0
2013-01-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.229167,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.016374,24.0,88101,7,24 HOUR,8.0,100.0,5.4,30.0,30.0
2013-01-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.320833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.012034333333333333,20.0,88101,7,24 HOUR,8.0,100.0,6.3,35.0,35.0
2013-01-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2125,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.018862666666666666,25.0,88101,7,24 HOUR,8.0,100.0,5.7,32.0,32.0
2013-01-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.354167,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.010490333333333332,18.0,88101,7,24 HOUR,8.0,100.0,8.5,47.0,47.0
2013-01-14,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.395833,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.013584666666666667,19.0,88101,7,24 HOUR,8.0,100.0,7.2,40.0,40.0
2013-01-15,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.01750966666666667,19.0,88101,7,24 HOUR,8.0,100.0,7.4,41.0,41.0
2013-01-16,42101,Z,8-HR RUN AVG END HOUR,14.0,58.0,0.228571,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.004491666666666667,11.666666666666666,88101,7,24 HOUR,8.0,100.0,11.5,55.0,55.0
2013-01-17,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.279167,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,44.0,67.0,0.017978666666666667,26.0,88101,7,24 HOUR,8.0,100.0,10.0,53.0,53.0
2013-01-18,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.025405333333333335,30.0,88101,7,24 HOUR,8.0,100.0,4.0,22.0,30.0
2013-01-19,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.026101666666666665,28.0,88101,7,24 HOUR,8.0,100.0,5.3,29.0,29.0
2013-01-20,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2125,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029898333333333332,34.0,88101,7,24 HOUR,8.0,100.0,5.5,31.0,34.0
2013-01-21,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.019485333333333334,22.0,88101,7,24 HOUR,8.0,100.0,7.1,39.0,39.0
2013-01-22,42101,Z,8-HR RUN AVG END HOUR,16.0,67.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.026530666666666664,27.0,88101,7,24 HOUR,8.0,100.0,6.3,35.0,35.0
2013-01-23,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.018386,25.0,88101,7,24 HOUR,8.0,100.0,7.0,39.0,39.0
2013-01-24,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.229167,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.022157,26.0,88101,7,24 HOUR,8.0,100.0,8.6,48.0,48.0
2013-01-25,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2875,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.008377333333333332,15.333333333333334,88101,7,24 HOUR,8.0,100.0,11.5,55.0,55.0
2013-01-26,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2625,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.024929999999999997,30.0,88101,7,24 HOUR,8.0,100.0,11.5,55.0,55.0
2013-01-27,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.216667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.017836666666666667,29.0,88101,7,24 HOUR,8.0,100.0,14.0,60.0,60.0
2013-01-28,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.416667,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.0061456666666666665,11.0,88101,7,24 HOUR,8.0,100.0,24.6,80.0,80.0
2013-01-29,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.516667,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.00443,7.0,88101,7,24 HOUR,8.0,100.0,29.2,88.0,88.0
2013-01-30,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3375,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,39.0,59.666666666666664,0.025852,32.0,,,,,,,,32.0
2013-01-31,42101,Z,8-HR RUN AVG END HOUR,18.0,75.0,0.155556,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.028685000000000002,30.0,88101,7,24 HOUR,8.0,100.0,2.4,13.0,30.0
2013-02-01,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.024477,26.0,88101,7,24 HOUR,8.0,100.0,3.7,21.0,26.0
2013-02-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.233333,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.016405333333333334,21.0,88101,7,24 HOUR,8.0,100.0,10.4,53.0,53.0
2013-02-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.283333,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.015266,20.0,88101,7,24 HOUR,8.0,100.0,17.6,67.0,67.0
2013-02-04,42101,Z,8-HR RUN AVG END HOUR,16.0,67.0,0.2375,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.022723999999999998,28.0,88101,7,24 HOUR,8.0,100.0,11.0,55.0,55.0
2013-02-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.291667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,38.0,58.333333333333336,0.010709333333333333,12.0,88101,7,24 HOUR,8.0,100.0,20.0,71.0,71.0
2013-02-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.295833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.022647,27.0,88101,7,24 HOUR,8.0,100.0,17.1,66.0,66.0
2013-02-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.216667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.022765999999999998,28.0,88101,7,24 HOUR,8.0,100.0,5.7,32.0,32.0
2013-02-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2125,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.030424999999999997,31.0,88101,7,24 HOUR,8.0,100.0,3.5,19.0,31.0
2013-02-09,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.032353,35.0,88101,7,24 HOUR,8.0,100.0,4.5,25.0,35.0
2013-02-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3375,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.013638666666666667,21.0,88101,7,24 HOUR,8.0,100.0,11.4,55.0,55.0
2013-02-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.520833,11.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.007327,14.0,,,,,,,,14.0
2013-02-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.308333,10.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.01943133333333333,26.0,,,,,,,,26.0
2013-02-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.379167,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.012740333333333334,18.0,88101,7,24 HOUR,8.0,100.0,13.4,59.0,59.0
2013-02-14,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.320833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.013523,24.0,,,,,,,,24.0
2013-02-15,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3875,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.016362666666666668,25.0,,,,,,,,25.0
2013-02-16,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.233333,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.030136,31.0,,,,,,,,31.0
2013-02-17,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03589066666666666,35.0,,,,,,,,35.0
2013-02-18,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.1875,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023858,32.0,,,,,,,,32.0
2013-02-19,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.266667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.02474866666666667,29.0,,,,,,,,29.0
2013-02-20,42101,Z,8-HR RUN AVG END HOUR,18.0,75.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,44.0,67.0,0.025850666666666664,28.0,88101,7,24 HOUR,8.0,100.0,6.5,36.0,36.0
2013-02-21,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,38.0,57.666666666666664,0.026116666666666667,29.0,88101,7,24 HOUR,8.0,100.0,4.5,25.0,29.0
2013-02-22,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029073666666666668,29.0,88101,7,24 HOUR,8.0,100.0,4.7,26.0,29.0
2013-02-23,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.191667,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03299366666666667,35.0,88101,7,24 HOUR,8.0,100.0,2.9,16.0,35.0
2013-02-24,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2125,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03269966666666666,36.0,88101,7,24 HOUR,8.0,100.0,6.7,37.0,37.0
2013-02-25,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.275,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.018836666666666668,29.0,88101,7,24 HOUR,8.0,100.0,9.8,52.0,52.0
2013-02-26,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.308333,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.033886,38.0,88101,7,24 HOUR,8.0,100.0,9.7,52.0,52.0
2013-02-27,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.216667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.020292666666666667,33.666666666666664,,,,,,,,33.666666666666664
2013-02-28,42101,Z,8-HR RUN AVG END HOUR,17.0,71.0,0.405882,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,50.0,77.33333333333333,0.016733,19.0,,,,,,,,19.0
2013-03-01,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.283333,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.02364833333333333,28.0,88101,7,24 HOUR,8.0,100.0,6.6,37.0,37.0
2013-03-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.027794,28.0,88101,7,24 HOUR,8.0,100.0,3.5,19.0,28.0
2013-03-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03218,32.0,88101,7,24 HOUR,8.0,100.0,3.7,21.0,32.0
2013-03-04,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029996666666666668,30.0,88101,7,24 HOUR,8.0,100.0,5.2,29.0,30.0
2013-03-05,42101,Z,8-HR RUN AVG END HOUR,18.0,75.0,0.216667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,48.0,74.66666666666667,0.022865333333333335,32.0,88101,7,24 HOUR,8.0,100.0,5.1,28.0,32.0
2013-03-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.208333,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.039196,40.0,88101,7,24 HOUR,8.0,100.0,3.4,19.0,40.0
2013-03-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.158333,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03125133333333333,36.333333333333336,88101,7,24 HOUR,8.0,100.0,2.7,15.0,36.333333333333336
2013-03-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.225,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029704333333333333,31.0,88101,7,24 HOUR,8.0,100.0,4.6,26.0,31.0
2013-03-09,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.229167,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.02818,41.0,88101,7,24 HOUR,8.0,100.0,6.0,33.0,41.0
2013-03-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.030808666666666668,36.0,88101,7,24 HOUR,8.0,100.0,8.3,46.0,46.0
2013-03-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.225,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.031804,36.0,88101,7,24 HOUR,8.0,100.0,5.9,33.0,36.0
2013-03-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.195833,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.027049,35.0,88101,7,24 HOUR,8.0,100.0,3.9,22.0,35.0
2013-03-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.241667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029960666666666667,34.0,88101,7,24 HOUR,8.0,100.0,5.7,32.0,34.0
2013-03-14,42101,Z,8-HR RUN AVG END HOUR,17.0,71.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,51.0,79.33333333333333,0.03894066666666667,40.0,,,,,,,,40.0
