date_local,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,aqi,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201,aqi44201,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,aqi88101,aqi_max,latitude,longitude,validity_indicator,pollutant_standard,units_of_measure,city,latitude44201,longitude44201,validity_indicator44201,pollutant_standard44201,units_of_measure44201,city44201,latitude88101,longitude88101,validity_indicator88101,pollutant_standard88101,units_of_measure88101,city88101
2013-01-01,42101,Z,8-HR RUN AVG END HOUR,19.0,79.0,0.3,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.019053999999999998,19.0,88101,7,24 HOUR,32.0,100.0,10.525,53.25,53.25,,,,,,,,,,,,,,,,,,
2013-01-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.01855533333333333,20.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
2013-01-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.4375,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.01142,17.0,,,,,,,,17.0,,,,,,,,,,,,,,,,,,
2013-01-04,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.395833,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.014381,18.0,88101,7,24 HOUR,32.0,100.0,16.6,65.0,65.0,,,,,,,,,,,,,,,,,,
2013-01-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.275,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.012112666666666666,19.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
2013-01-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.279167,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.014392,18.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
2013-01-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.179167,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.011083333333333334,21.0,88101,7,24 HOUR,32.0,100.0,12.15,56.75,56.75,,,,,,,,,,,,,,,,,,
2013-01-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.408333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.0024853333333333333,6.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
2013-01-09,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.641667,11.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.005117666666666666,19.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
2013-01-10,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.3125,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.014603,21.0,88101,7,24 HOUR,32.0,100.0,6.550000000000001,36.5,36.5,,,,,,,,,,,,,,,,,,
2013-01-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.5625,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.002124,4.333333333333333,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
2013-01-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.545833,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.0038740000000000003,7.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
2013-01-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.608333,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.003231666666666666,6.0,88101,7,24 HOUR,32.0,100.0,16.35,64.5,64.5,,,,,,,,,,,,,,,,,,
2013-01-14,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.520833,8.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.011334666666666667,14.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
2013-01-15,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.408333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.012277999999999999,14.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
